104.52, 108.11, 111.43, 113.84, 112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 22, 22, 23, 21, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 0
108.11, 111.43, 113.84, 112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 22, 23, 21, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 1
111.43, 113.84, 112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 23, 21, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 1
113.84, 112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 21, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 1
112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 1
111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 1
112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 1
113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 0
114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 0
122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 1
